region,year,min_wage,unemployment_rate
A,2000,6.86,4.03
A,2001,7.02,5.05
A,2002,6.85,3.92
A,2003,7.09,3.82
A,2004,7.22,4.41
A,2005,7.38,4.84
A,2006,7.62,4.12
A,2007,7.68,4.79
A,2008,7.93,5.5
A,2009,8.01,6.59
A,2010,7.94,3.87
A,2011,8.31,3.71
A,2012,8.34,4.48
A,2013,8.43,4.26
A,2014,8.65,3.16
A,2015,8.44,4.34
A,2016,8.75,3.75
A,2017,8.76,3.82
A,2018,8.91,4.0
A,2019,9.12,3.8
A,2020,9.26,6.47
A,2021,9.2,5.85
A,2022,9.54,4.3
A,2023,9.54,4.23
A,2024,9.62,3.93
A,2025,9.65,3.82
A,2026,10.22,3.97
B,2000,7.89,4.8
B,2001,8.32,5.59
B,2002,8.53,5.11
B,2003,8.57,5.73
B,2004,8.68,4.55
B,2005,8.56,5.42
B,2006,8.91,5.11
B,2007,9.0,5.02
B,2008,9.3,6.64
B,2009,8.76,7.57
B,2010,9.45,4.59
B,2011,9.41,4.97
B,2012,9.63,4.9
B,2013,9.72,5.25
B,2014,9.67,4.58
B,2015,9.91,4.27
B,2016,9.97,5.11
B,2017,9.91,4.89
B,2018,10.49,4.57
B,2019,10.42,4.51
B,2020,10.38,8.03
B,2021,10.51,6.38
B,2022,10.54,5.27
B,2023,10.92,4.71
B,2024,11.18,5.13
B,2025,10.94,4.45
B,2026,11.18,5.09
C,2000,7.99,3.61
C,2001,8.03,4.26
C,2002,7.91,3.31
C,2003,8.48,3.77
C,2004,8.18,3.31
C,2005,8.61,4.03
C,2006,8.75,3.38
C,2007,8.59,3.04
C,2008,9.08,4.73
C,2009,9.15,5.91
C,2010,8.98,3.1
C,2011,8.75,3.47
C,2012,9.3,3.0
C,2013,9.19,3.71
C,2014,9.56,3.18
C,2015,9.86,3.2
C,2016,9.8,3.85
C,2017,9.74,3.57
C,2018,10.14,3.96
C,2019,9.91,3.5
C,2020,10.18,6.65
C,2021,10.11,4.59
C,2022,10.37,3.89
C,2023,10.66,3.9
C,2024,10.79,4.11
C,2025,11.08,3.81
C,2026,10.63,3.5
D,2000,6.44,3.48
D,2001,6.6,4.17
D,2002,6.75,3.62
D,2003,6.75,2.75
D,2004,6.89,3.41
D,2005,7.32,3.95
D,2006,7.25,3.56
D,2007,7.27,3.04
D,2008,7.32,4.99
D,2009,7.68,5.35
D,2010,7.69,3.83
D,2011,7.84,3.37
D,2012,7.92,4.42
D,2013,7.97,3.65
D,2014,8.36,3.82
D,2015,8.02,3.73
D,2016,8.21,3.39
D,2017,8.62,4.07
D,2018,8.63,3.6
D,2019,8.91,3.95
D,2020,8.77,6.38
D,2021,9.17,4.46
D,2022,9.24,3.35
D,2023,9.28,3.37
D,2024,9.19,3.44
D,2025,9.62,2.94
D,2026,9.55,3.6
E,2000,8.23,5.16
E,2001,8.23,5.85
E,2002,8.48,4.14
E,2003,8.49,4.47
E,2004,8.83,4.86
E,2005,8.73,5.27
E,2006,8.98,4.72
E,2007,8.71,4.68
E,2008,9.12,5.83
E,2009,9.28,7.15
E,2010,9.38,5.5
E,2011,9.43,5.05
E,2012,9.69,4.43
E,2013,9.61,4.53
E,2014,10.01,5.11
E,2015,9.93,4.82
E,2016,10.25,4.81
E,2017,10.01,4.77
E,2018,10.17,5.05
E,2019,10.27,4.82
E,2020,10.54,7.41
E,2021,10.52,6.52
E,2022,10.71,4.62
E,2023,10.7,4.23
E,2024,10.97,4.44
E,2025,11.04,5.75
E,2026,11.35,5.2
F,2000,7.46,4.74
F,2001,7.69,4.8
F,2002,7.97,4.47
F,2003,8.23,4.3
F,2004,8.0,4.01
F,2005,7.9,4.18
F,2006,8.21,4.67
F,2007,8.4,4.09
F,2008,8.58,5.63
F,2009,8.65,6.33
F,2010,9.0,4.41
F,2011,8.94,4.09
F,2012,9.0,4.54
F,2013,9.15,4.46
F,2014,9.26,4.44
F,2015,9.45,4.37
F,2016,9.56,3.9
F,2017,9.44,3.85
F,2018,9.68,5.23
F,2019,9.87,4.43
F,2020,9.95,6.91
F,2021,10.05,5.85
F,2022,10.24,4.46
F,2023,10.48,4.33
F,2024,10.08,4.92
F,2025,10.67,3.88
F,2026,10.79,4.26
G,2000,7.53,5.26
G,2001,7.54,5.66
G,2002,8.04,4.33
G,2003,7.99,4.71
G,2004,7.97,4.7
G,2005,7.81,4.86
G,2006,8.07,4.65
G,2007,8.19,4.78
G,2008,8.48,6.3
G,2009,8.46,6.66
G,2010,8.51,4.7
G,2011,8.81,5.12
G,2012,9.23,5.2
G,2013,9.09,4.74
G,2014,9.07,5.07
G,2015,9.12,4.95
G,2016,9.32,4.78
G,2017,9.7,4.85
G,2018,9.86,5.16
G,2019,9.8,5.07
G,2020,9.75,8.03
G,2021,9.81,6.78
G,2022,10.12,4.71
G,2023,10.38,5.24
G,2024,10.63,4.95
G,2025,10.69,4.85
G,2026,10.63,5.1
H,2000,7.11,4.53
H,2001,7.2,4.78
H,2002,7.68,4.39
H,2003,7.44,3.48
H,2004,7.71,3.96
H,2005,7.75,3.9
H,2006,7.97,4.1
H,2007,7.48,4.45
H,2008,8.24,5.41
H,2009,8.11,6.79
H,2010,8.18,3.66
H,2011,8.29,4.44
H,2012,8.69,4.8
H,2013,8.56,4.58
H,2014,8.61,4.08
H,2015,8.88,4.95
H,2016,8.72,4.42
H,2017,9.22,4.77
H,2018,9.43,4.21
H,2019,9.47,4.43
H,2020,9.37,6.84
H,2021,9.67,5.88
H,2022,9.7,3.86
H,2023,9.75,4.79
H,2024,9.81,4.15
H,2025,10.01,3.87
H,2026,10.06,3.87
I,2000,7.47,4.72
I,2001,7.09,5.3
I,2002,7.47,5.28
I,2003,7.59,5.04
I,2004,7.57,4.55
I,2005,7.89,4.23
I,2006,8.0,4.81
I,2007,8.16,4.65
I,2008,8.28,5.03
I,2009,8.39,8.14
I,2010,8.5,4.52
I,2011,8.75,4.43
I,2012,8.99,4.76
I,2013,8.76,4.46
I,2014,9.18,4.64
I,2015,9.16,4.8
I,2016,9.41,4.76
I,2017,9.31,4.75
I,2018,9.33,4.0
I,2019,9.48,5.52
I,2020,9.8,8.19
I,2021,9.86,6.43
I,2022,10.2,5.06
I,2023,10.02,4.19
I,2024,10.35,4.71
I,2025,10.36,4.8
I,2026,10.42,4.97
J,2000,8.24,3.37
J,2001,8.43,4.72
J,2002,8.27,4.18
J,2003,8.6,3.68
J,2004,8.98,4.0
J,2005,8.79,3.48
J,2006,9.21,4.29
J,2007,9.32,4.05
J,2008,9.22,4.63
J,2009,9.34,5.67
J,2010,9.34,3.72
J,2011,9.06,4.04
J,2012,9.6,4.18
J,2013,10.14,4.07
J,2014,10.0,3.91
J,2015,10.16,3.41
J,2016,10.27,3.73
J,2017,10.32,4.06
J,2018,10.4,3.25
J,2019,10.54,3.52
J,2020,10.7,7.36
J,2021,10.76,5.59
J,2022,11.03,4.05
J,2023,10.95,3.81
J,2024,11.17,3.69
J,2025,11.21,3.59
J,2026,11.3,4.19
K,2000,7.19,3.91
K,2001,7.23,4.55
K,2002,7.45,4.71
K,2003,7.68,3.59
K,2004,7.71,3.31
K,2005,7.89,3.85
K,2006,7.9,3.35
K,2007,8.0,3.21
K,2008,8.08,5.21
K,2009,8.06,5.79
K,2010,8.51,3.91
K,2011,8.62,3.41
K,2012,8.65,3.43
K,2013,8.51,4.13
K,2014,9.14,3.04
K,2015,9.1,3.8
K,2016,9.63,4.14
K,2017,9.21,3.71
K,2018,9.67,3.57
K,2019,9.67,3.81
K,2020,9.62,6.8
K,2021,9.92,5.02
K,2022,10.17,4.38
K,2023,10.07,4.22
K,2024,10.31,3.63
K,2025,10.33,3.42
K,2026,10.55,3.72
L,2000,7.08,3.74
L,2001,7.19,4.72
L,2002,7.43,3.52
L,2003,7.41,3.57
L,2004,7.53,3.87
L,2005,7.61,3.66
L,2006,7.87,3.43
L,2007,7.95,3.18
L,2008,8.26,5.38
L,2009,8.2,6.65
L,2010,8.16,3.52
L,2011,8.39,3.79
L,2012,8.37,3.91
L,2013,8.74,4.42
L,2014,8.75,3.64
L,2015,8.94,3.94
L,2016,8.91,3.32
L,2017,8.99,3.31
L,2018,9.6,3.28
L,2019,9.43,3.44
L,2020,9.73,6.29
L,2021,10.01,5.49
L,2022,9.86,4.15
L,2023,9.64,3.49
L,2024,9.96,4.11
L,2025,9.86,3.66
L,2026,10.63,3.71
M,2000,6.33,4.33
M,2001,7.04,5.15
M,2002,7.01,3.82
M,2003,7.03,3.62
M,2004,6.98,3.67
M,2005,7.32,3.96
M,2006,7.19,3.98
M,2007,7.11,3.66
M,2008,7.47,4.71
M,2009,7.55,6.33
M,2010,7.74,3.95
M,2011,7.91,3.88
M,2012,8.0,3.86
M,2013,7.99,3.84
M,2014,8.17,3.6
M,2015,8.23,3.68
M,2016,8.46,4.38
M,2017,8.69,3.69
M,2018,8.63,3.55
M,2019,8.88,3.54
M,2020,8.66,6.77
M,2021,8.9,5.71
M,2022,9.09,3.48
M,2023,9.14,4.22
M,2024,9.23,3.57
M,2025,9.57,3.96
M,2026,9.78,4.44
N,2000,9.58,1.68
N,2001,9.41,2.9
N,2002,9.8,1.9
N,2003,9.86,2.46
N,2004,9.82,1.91
N,2005,10.17,1.5
N,2006,10.25,2.41
N,2007,10.6,2.43
N,2008,10.41,3.77
N,2009,10.6,3.87
N,2010,10.79,1.92
N,2011,10.6,1.85
N,2012,10.91,2.33
N,2013,11.24,2.34
N,2014,10.94,1.5
N,2015,11.18,1.5
N,2016,11.48,2.09
N,2017,11.59,2.35
N,2018,11.58,1.67
N,2019,11.81,1.58
N,2020,11.91,4.94
N,2021,12.15,3.74
N,2022,12.19,1.53
N,2023,12.41,1.98
N,2024,12.41,1.82
N,2025,12.3,2.1
N,2026,12.94,1.84
O,2000,11.2,2.12
O,2001,11.41,2.5
O,2002,11.59,1.5
O,2003,11.6,2.32
O,2004,11.66,1.5
O,2005,12.05,1.71
O,2006,12.13,2.18
O,2007,12.21,1.86
O,2008,12.11,2.68
O,2009,12.42,4.75
O,2010,12.33,1.5
O,2011,12.38,2.25
O,2012,12.78,1.74
O,2013,12.87,1.85
O,2014,12.78,1.58
O,2015,12.92,1.5
O,2016,13.06,1.5
O,2017,13.47,1.88
O,2018,13.4,1.84
O,2019,13.62,2.07
O,2020,13.56,5.66
O,2021,13.73,3.26
O,2022,13.8,1.5
O,2023,13.87,1.99
O,2024,14.27,1.5
O,2025,14.45,1.5
O,2026,14.29,1.9
P,2000,10.49,2.62
P,2001,10.38,3.14
P,2002,11.14,2.79
P,2003,10.71,2.95
P,2004,10.98,2.04
P,2005,11.35,1.82
P,2006,11.4,2.24
P,2007,11.48,2.59
P,2008,11.51,3.54
P,2009,11.66,4.51
P,2010,11.72,1.94
P,2011,11.76,2.04
P,2012,11.67,2.19
P,2013,12.03,2.56
P,2014,12.3,1.64
P,2015,12.33,1.97
P,2016,12.4,2.72
P,2017,12.54,2.32
P,2018,12.32,2.59
P,2019,12.66,2.48
P,2020,12.92,6.35
P,2021,13.11,3.56
P,2022,13.27,2.11
P,2023,12.89,1.98
P,2024,13.22,2.01
P,2025,13.5,2.65
P,2026,13.49,2.51
Q,2000,10.56,2.44
Q,2001,10.58,3.79
Q,2002,10.91,2.61
Q,2003,11.2,2.96
Q,2004,11.59,3.13
Q,2005,11.12,2.66
Q,2006,11.62,3.03
Q,2007,11.59,2.96
Q,2008,11.96,4.52
Q,2009,11.72,5.43
Q,2010,11.84,2.83
Q,2011,11.76,2.97
Q,2012,11.97,2.3
Q,2013,12.29,2.52
Q,2014,12.69,2.72
Q,2015,12.5,2.09
Q,2016,12.93,2.49
Q,2017,12.69,2.32
Q,2018,12.85,2.59
Q,2019,13.14,3.05
Q,2020,13.48,6.3
Q,2021,13.13,4.26
Q,2022,13.43,3.01
Q,2023,13.77,2.55
Q,2024,13.67,1.99
Q,2025,13.7,2.77
Q,2026,13.76,2.84
R,2000,9.98,2.63
R,2001,10.45,3.95
R,2002,10.26,3.05
R,2003,10.63,3.47
R,2004,10.45,3.38
R,2005,10.68,3.99
R,2006,10.95,2.99
R,2007,10.92,3.58
R,2008,11.34,4.35
R,2009,10.97,5.88
R,2010,11.12,3.35
R,2011,11.49,2.59
R,2012,11.52,2.96
R,2013,11.64,3.27
R,2014,11.84,3.91
R,2015,11.87,3.03
R,2016,11.93,3.54
R,2017,12.13,3.05
R,2018,12.24,3.73
R,2019,12.23,2.54
R,2020,12.64,6.51
R,2021,12.52,4.61
R,2022,12.74,3.53
R,2023,12.97,4.06
R,2024,12.98,3.15
R,2025,13.3,3.6
R,2026,13.21,3.59
S,2000,9.46,3.63
S,2001,9.27,3.49
S,2002,9.89,3.26
S,2003,9.99,3.69
S,2004,10.11,3.29
S,2005,10.28,3.52
S,2006,10.25,3.41
S,2007,10.38,2.94
S,2008,10.29,4.68
S,2009,10.66,6.07
S,2010,10.9,3.29
S,2011,10.75,3.09
S,2012,11.1,3.38
S,2013,11.2,4.08
S,2014,11.48,3.43
S,2015,11.36,2.75
S,2016,11.44,3.15
S,2017,11.61,2.59
S,2018,11.55,3.32
S,2019,11.78,2.96
S,2020,12.15,5.8
S,2021,11.82,4.81
S,2022,12.06,2.85
S,2023,12.47,3.71
S,2024,12.42,2.98
S,2025,12.63,3.32
S,2026,12.67,3.49
T,2000,9.98,1.74
T,2001,10.04,2.33
T,2002,9.87,1.56
T,2003,10.37,1.5
T,2004,10.44,1.81
T,2005,10.36,1.53
T,2006,10.7,1.71
T,2007,10.64,1.67
T,2008,10.76,3.01
T,2009,11.03,4.0
T,2010,11.17,1.74
T,2011,11.18,1.98
T,2012,11.46,1.5
T,2013,11.26,1.95
T,2014,11.33,1.78
T,2015,11.6,1.5
T,2016,11.51,1.5
T,2017,11.85,1.68
T,2018,12.12,1.98
T,2019,11.92,2.54
T,2020,12.36,4.38
T,2021,12.06,3.31
T,2022,12.45,1.5
T,2023,12.34,1.84
T,2024,12.7,1.88
T,2025,12.88,1.71
T,2026,13.07,2.01
U,2000,10.48,1.76
U,2001,10.9,2.84
U,2002,10.89,2.24
U,2003,11.04,1.5
U,2004,11.25,1.77
U,2005,11.29,1.73
U,2006,11.07,1.76
U,2007,11.57,2.25
U,2008,11.52,3.16
U,2009,11.7,4.76
U,2010,12.24,1.69
U,2011,11.92,2.2
U,2012,11.94,2.1
U,2013,12.18,2.31
U,2014,12.34,1.5
U,2015,12.35,2.05
U,2016,12.43,2.37
U,2017,12.62,1.5
U,2018,12.58,2.33
