dbcode,id,isParent,name,pid,wdcode
fsnd,A01,True,综合,,zb
fsnd,A02,True,国民经济核算,,zb
fsnd,A03,True,人口,,zb
fsnd,A04,True,就业人员和工资,,zb
fsnd,A05,True,固定资产投资和房地产,,zb
fsnd,A06,True,对外经济贸易,,zb
fsnd,A07,True,能源,,zb
fsnd,A08,True,财政,,zb
fsnd,A09,True,价格指数,,zb
fsnd,A0A,True,人民生活,,zb
fsnd,A0B,True,城市概况,,zb
fsnd,A0C,True,资源和环境,,zb
fsnd,A0D,True,农业,,zb
fsnd,A0E,True,工业,,zb
fsnd,A0F,True,建筑业,,zb
fsnd,A0G,True,运输和邮电,,zb
fsnd,A0H,False,社会消费品零售总额,,zb
fsnd,A0I,True,批发和零售业,,zb
fsnd,A0J,True,住宿和餐饮业,,zb
fsnd,A0K,True,旅游业,,zb
fsnd,A0L,True,金融业,,zb
fsnd,A0M,True,教育,,zb
fsnd,A0N,True,科技,,zb
fsnd,A0O,True,卫生,,zb
fsnd,A0P,True,社会服务,,zb
fsnd,A0Q,True,文化,,zb
fsnd,A0R,True,体育,,zb
fsnd,A0S,True,公共管理、社会保障及其他,,zb
